bankCode,bankName,dest
51113,SAFE HAVEN MFB,C:/python_work/bvn_user_actitities/destination/
51336,AKU MFB,C:/python_work/bvn_user_actitities/destination/
52147,E-Settlement INC,C:/python_work/bvn_user_actitities/destination/
52525,FBC TRUST AND SECURITIES,C:/python_work/bvn_user_actitities/destination/
57000,Nuture Microfinance Bank Limited,C:/python_work/bvn_user_actitities/destination/
57110,Federal Polytechnic Microfinance Bank LTD,C:/python_work/bvn_user_actitities/destination/
57111,MAINLAND MICROFINANCE BANK LIMITED,C:/python_work/bvn_user_actitities/destination/
57123,ISHIE MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
57321,UNILORIN MICROFINANCE BANK,C:/python_work/bvn_user_actitities/destination/
57444,JEN MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
57639,NEWEDGE FINANCE LIMITED,C:/python_work/bvn_user_actitities/destination/
58000,LUKEFIELD FINANCE LIMITED,C:/python_work/bvn_user_actitities/destination/
58123,BRANCH INTERNATIONAL FINANCIAL SERVICES LIMITED,C:/python_work/bvn_user_actitities/destination/
59978,EVERDEN FINANCIAL SERVICE LIMITED,C:/python_work/bvn_user_actitities/destination/
70110,Visa Microfinance Bank Ltd,C:/python_work/bvn_user_actitities/destination/
70113,Moneytronics Microfinance Bank Ltd,C:/python_work/bvn_user_actitities/destination/
70123,GARKI MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
70234,ACE MFB,C:/python_work/bvn_user_actitities/destination/
76001,Eartholeum Networks,C:/python_work/bvn_user_actitities/destination/
76123,READINGS INVESTMENTS LTD,C:/python_work/bvn_user_actitities/destination/
76222,Snow Microfinance Bank,C:/python_work/bvn_user_actitities/destination/
90111,MEMPHIS MFB LTD,C:/python_work/bvn_user_actitities/destination/
90115,ANIOCHA MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
90527,OJOKORO MFB,C:/python_work/bvn_user_actitities/destination/
90564,SUPREME_Disable,C:/python_work/bvn_user_actitities/destination/
98657,Anchorage Microfinance Bank,C:/python_work/bvn_user_actitities/destination/
98789,NGBO MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
100111,Winview Microfinance Bank Ltd,C:/python_work/bvn_user_actitities/destination/
101000,Firmus MFB,C:/python_work/bvn_user_actitities/destination/
101110,CORE CAPITAL LIMITED,C:/python_work/bvn_user_actitities/destination/
101111,Headway Microfinance Bank,C:/python_work/bvn_user_actitities/destination/
101123,Eyowo Microfinance Bank,C:/python_work/bvn_user_actitities/destination/
101150,SIMPLE FINANCE LIMITED,C:/python_work/bvn_user_actitities/destination/
101234,OLOFIN OWENA MICRO FINANCE BANK,C:/python_work/bvn_user_actitities/destination/
102050,Fortis Mobile Money,C:/python_work/bvn_user_actitities/destination/
102121,Business Support MFB,C:/python_work/bvn_user_actitities/destination/
102458,MALACHY MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
102486,THOMAS GILTS FINANCE LIMITED,C:/python_work/bvn_user_actitities/destination/
102560,GREENBNAK MFB LTD,C:/python_work/bvn_user_actitities/destination/
104202,KUDA MICROFINANCE BANK LIMITED,C:/python_work/bvn_user_actitities/destination/
111000,Ensure Insurance Plc,C:/python_work/bvn_user_actitities/destination/
111110,ICON STOCKBROKERS LIMITED,C:/python_work/bvn_user_actitities/destination/
111222,Comercio Partners Asset Management,C:/python_work/bvn_user_actitities/destination/
111856,ARISE Microfinance Bank Limited,C:/python_work/bvn_user_actitities/destination/
111908,Glory Microfinance Bank,C:/python_work/bvn_user_actitities/destination/
112000,FAST MFB,C:/python_work/bvn_user_actitities/destination/
112333,ONEFI,C:/python_work/bvn_user_actitities/destination/
123000,PILOT FINANCE LIMITED-NABOB,C:/python_work/bvn_user_actitities/destination/
123456,Mutual Benefits MFB,C:/python_work/bvn_user_actitities/destination/
123489,YCT Microfinance Bank Limited,C:/python_work/bvn_user_actitities/destination/
123865,EMERALDS MFB,C:/python_work/bvn_user_actitities/destination/
124000,INITIATIVE FINANCE LIMITED,C:/python_work/bvn_user_actitities/destination/
124791,CFS FINANCIAL SERVICES LIMITED,C:/python_work/bvn_user_actitities/destination/
125000,LECON FINANCIAL SERVICES LIMITED,C:/python_work/bvn_user_actitities/destination/
125487,REGENCY ASSET MANAGEMENT LTD,C:/python_work/bvn_user_actitities/destination/
147890,Umuchinemere Procredit Microfinance Bank,C:/python_work/bvn_user_actitities/destination/
147896,CROWNRISE FINANCE PLC,C:/python_work/bvn_user_actitities/destination/
154789,Lovonus MFB,C:/python_work/bvn_user_actitities/destination/
199405,TEKLA FACTORING AND FINANCE COMPANY,C:/python_work/bvn_user_actitities/destination/
200010,QUITS FINANCE LIMITED,C:/python_work/bvn_user_actitities/destination/
200011,ROSABON FINANCIAL SERVICES LTD,C:/python_work/bvn_user_actitities/destination/
202020,PETRAMFB,C:/python_work/bvn_user_actitities/destination/
202101,CRUTECH COMMUNITY MICROFINANCE BANK LIMITED,C:/python_work/bvn_user_actitities/destination/
202102,FLOBAL FINANCIAL SERVICES LIMITED,C:/python_work/bvn_user_actitities/destination/
202105,Greenwich Merchant Bank,C:/python_work/bvn_user_actitities/destination/
202106,Transkredit Finance Company,C:/python_work/bvn_user_actitities/destination/
202107,BOROMU MFB LTD,C:/python_work/bvn_user_actitities/destination/
202109,Tangerine Money,C:/python_work/bvn_user_actitities/destination/
202110,CHANELLE MICROFINANCE BANK,C:/python_work/bvn_user_actitities/destination/
202111,BLUEWHALES MFB LTD,C:/python_work/bvn_user_actitities/destination/
202112,GMB MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
202113,Borstal MFB Ltd.,C:/python_work/bvn_user_actitities/destination/
202114,ASTRA POLARIS MFB,C:/python_work/bvn_user_actitities/destination/
202115,LINKS MICROFINANCE BANK,C:/python_work/bvn_user_actitities/destination/
202116,Monarch Microfinance Bank Ltd,C:/python_work/bvn_user_actitities/destination/
202120,MOYOFADE MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
202121,Fortress Microfinance Bank Limited,C:/python_work/bvn_user_actitities/destination/
202123,UZONDU MFB,C:/python_work/bvn_user_actitities/destination/
202125,E-FINANCE COMPANY LTD,C:/python_work/bvn_user_actitities/destination/
202126,Shepherd Trust Microfinance Bank,C:/python_work/bvn_user_actitities/destination/
202127,ARAMOKO MICRO FINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
202128,LOTUS BANK,C:/python_work/bvn_user_actitities/destination/
202129,First Heritage Mircofinance Bank Ltd,C:/python_work/bvn_user_actitities/destination/
